1;1;RC
1;2;D
1;3;RC
1;4;E
1;5;D
1;6;E
2;1;D
2;2;RC
2;3;RC
2;4;D
2;5;A
2;6;A
3;1;RC
3;2;A
3;3;D
3;4;E
3;5;RC
3;6;D
4;1;E
4;2;RC
4;3;D
4;4;E
4;5;D
4;6;D
5;1;D
5;2;E
5;3;RC
5;4;E
5;5;A
5;6;E
6;1;RC
6;2;RC
6;3;E
6;4;A
6;5;A
6;6;RC
7;1;A
7;2;RC
7;3;E
7;4;E
7;5;RC
7;6;A
8;1;RC
8;2;D
8;3;E
8;4;E
8;5;E
8;6;D
9;1;D
9;2;A
9;3;RC
9;4;D
9;5;A
9;6;A
10;1;RC
10;2;E
10;3;E
10;4;E
10;5;E
10;6;RC
11;1;RC
11;2;A
11;3;D
11;4;RC
11;5;A
11;6;E
12;1;E
12;2;D
12;3;D
12;4;D
12;5;A
12;6;A
13;1;RC
13;2;RC
13;3;A
13;4;E
13;5;E
13;6;D
14;1;D
14;2;A
14;3;RC
14;4;RC
14;5;RC
14;6;RC
15;1;E
15;2;D
15;3;RC
15;4;A
15;5;A
15;6;E
16;1;A
16;2;A
16;3;RC
16;4;RC
16;5;E
16;6;RC
17;1;RC
17;2;E
17;3;D
17;4;D
17;5;A
17;6;E
18;1;D
18;2;A
18;3;RC
18;4;D
18;5;E
18;6;E
19;1;D
19;2;RC
19;3;D
19;4;E
19;5;RC
19;6;E
20;1;D
20;2;RC
20;3;D
20;4;RC
20;5;RC
20;6;D
21;1;A
21;2;E
21;3;E
21;4;RC
21;5;A
21;6;E
